./sim < tests/agents.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agents2Test 0.700000 0.944000 100 100 500 10 0 0 0 0 0.024 0.13 0.314 0.518 0.718 0.916 0.944
agents2Test 0.700000 0.940000 100 100 500 10 0 0 0 0 0.022 0.146 0.33 0.526 0.73 0.91 0.94
agents2Test 0.700000 0.996000 100 100 500 10 0 0 0 0 0.028 0.152 0.39 0.686 0.934 1 0.996
agents2Test 0.700000 0.952000 100 100 500 10 0 0 0 0 0.024 0.136 0.306 0.58 0.816 0.938 0.952
agents2Test 0.700000 1.000000 97 100 500 10 0 0 0 0 0.026 0.144 0.302 0.614 0.926 0.994 1
agents2Test 0.700000 0.874000 100 100 500 10 0 0 0 0 0.026 0.138 0.318 0.496 0.68 0.846 0.874
agents2Test 0.700000 0.996000 100 100 500 10 0 0 0 0 0.028 0.18 0.396 0.688 0.932 0.988 0.996
agents2Test 0.700000 1.000000 92 100 500 10 0 0 0 0 0.04 0.2 0.412 0.672 0.928 0.986 1
agents2Test 0.700000 0.996000 100 100 500 10 0 0 0 0 0.036 0.194 0.384 0.652 0.882 0.962 0.996
agents2Test 0.700000 0.950000 100 100 500 10 0 0 0 0 0.034 0.154 0.32 0.53 0.738 0.924 0.95
agents2Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.032 0.168 0.352 0.598 0.868 0.982 0.988
agents2Test 0.700000 0.978000 100 100 500 10 0 0 0 0 0.028 0.158 0.358 0.582 0.81 0.972 0.978
agents2Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.036 0.168 0.378 0.582 0.794 0.97 0.988
agents2Test 0.700000 1.000000 100 100 500 10 0 0 0 0 0.036 0.176 0.408 0.654 0.9 0.994 1
agents2Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.026 0.178 0.39 0.64 0.882 0.976 0.988
agents2Test 0.700000 0.982000 100 100 500 10 0 0 0 0 0.032 0.18 0.35 0.58 0.804 0.978 0.982
agents2Test 0.700000 0.966000 100 100 500 10 0 0 0 0 0.036 0.162 0.344 0.592 0.818 0.928 0.966
agents2Test 0.700000 1.000000 98 100 500 10 0 0 0 0 0.038 0.208 0.452 0.684 0.918 0.99 1
agents2Test 0.700000 0.998000 100 100 500 10 0 0 0 0 0.03 0.182 0.408 0.688 0.914 0.984 0.998
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.026 0.16 0.358 0.628 0.88 0.988 0.99
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.034 0.17 0.358 0.618 0.85 0.964 0.98
agents2Test 0.700000 0.992000 100 100 500 10 0 0 0 0 0.026 0.15 0.344 0.55 0.76 0.956 0.992
./sim < tests/agents2.2.slang
agentsTestProbSet
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agents22Test 0.700000 0.984000 100 100 500 10 0 0 0 0 0.028 0.158 0.37 0.582 0.802 0.97 0.984
agents22Test 0.700000 1.000000 89 100 500 10 0 0 0 0 0.03 0.16 0.378 0.606 0.83 0.992 1
agents22Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.028 0.158 0.346 0.604 0.852 0.978 0.99
agents22Test 0.700000 0.986000 100 100 500 10 0 0 0 0 0.026 0.16 0.358 0.608 0.862 0.988 0.986
agents22Test 0.700000 0.984000 100 100 500 10 0 0 0 0 0.028 0.156 0.344 0.57 0.798 0.96 0.984
agents22Test 0.700000 0.962000 100 100 500 10 0 0 0 0 0.026 0.15 0.338 0.538 0.734 0.922 0.962
agents22Test 0.700000 0.984000 100 100 500 10 0 0 0 0 0.03 0.172 0.362 0.6 0.816 0.972 0.984
agents22Test 0.700000 0.968000 100 100 500 10 0 0 0 0 0.036 0.164 0.352 0.554 0.748 0.936 0.968
agents22Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.026 0.148 0.346 0.588 0.84 0.978 0.988
agents22Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.026 0.152 0.324 0.552 0.778 0.966 0.98
agents22Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.034 0.172 0.386 0.606 0.834 0.974 0.988
agents22Test 0.700000 0.966000 100 100 500 10 0 0 0 0 0.028 0.148 0.34 0.548 0.756 0.948 0.966
agents22Test 0.700000 0.978000 100 100 500 10 0 0 0 0 0.032 0.164 0.362 0.582 0.792 0.964 0.978
agents22Test 0.700000 0.982000 100 100 500 10 0 0 0 0 0.034 0.186 0.382 0.594 0.8 0.978 0.982
agents22Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.026 0.152 0.332 0.594 0.85 0.972 0.988
agents22Test 0.700000 0.946000 100 100 500 10 0 0 0 0 0.028 0.156 0.346 0.548 0.746 0.924 0.946
agents22Test 0.700000 0.890000 100 100 500 10 0 0 0 0 0.026 0.138 0.316 0.502 0.69 0.876 0.89
agents22Test 0.700000 0.992000 100 100 500 10 0 0 0 0 0.028 0.152 0.352 0.582 0.802 0.982 0.992
agents22Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.032 0.17 0.386 0.61 0.83 0.996 0.994
agents22Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.024 0.144 0.32 0.558 0.826 0.974 0.988
agents22Test 0.700000 0.992000 100 100 500 10 0 0 0 0 0.032 0.164 0.366 0.574 0.784 0.972 0.992
